#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         510     2.23455     2.18232   0.0010681
         511     2.23617     2.18243   0.0010712
         512     2.23492     2.18253    0.001074
         513     2.23192     2.18263  0.00107621
         514     2.22878     2.18272  0.00107786
         515     2.22719      2.1828  0.00107922
         516       2.228     2.18289  0.00108068
         517     2.23069     2.18298  0.00108254
         518     2.23374     2.18308  0.00108487
         519      2.2355     2.18318  0.00108747
         520     2.23521     2.18328  0.00108997
         521     2.23364     2.18338  0.00109216
         522     2.23264     2.18347  0.00109413
         523     2.23304     2.18357  0.00109614
         524     2.23322     2.18366  0.00109813
         525     2.23047     2.18375  0.00109966
         526     2.22339     2.18383  0.00110014
         527     2.21406     2.18389  0.00109955
         528     2.20895     2.18393  0.00109849
         529     2.21357     2.18399  0.00109784
         530     2.22537     2.18407  0.00109855
         531     2.23711     2.18417  0.00110101
         532     2.24441     2.18428  0.00110475
         533     2.24722      2.1844  0.00110897
         534     2.24774     2.18452  0.00111322
         535     2.24859     2.18464  0.00111756
         536     2.25104     2.18476  0.00112232
         537     2.25438     2.18489  0.00112769
         538     2.25682     2.18502   0.0011335
         539     2.25716     2.18516  0.00113927
         540     2.25518     2.18529  0.00114451
         541     2.25119     2.18541  0.00114886
         542     2.24538     2.18552  0.00115206
         543     2.23772     2.18562  0.00115394
         544     2.22862      2.1857  0.00115452
         545     2.21935     2.18576  0.00115406
         546     2.21185      2.1858  0.00115293
         547     2.20795     2.18585  0.00115153
         548     2.20778     2.18589  0.00115013
         549     2.20896     2.18593   0.0011488
         550     2.20927     2.18597  0.00114749
         551     2.20901     2.18601  0.00114617
         552     2.20948     2.18605  0.00114489
         553     2.21056      2.1861  0.00114367
         554     2.21061     2.18614  0.00114246
         555     2.20797     2.18618  0.00114108
         556     2.20201     2.18621  0.00113939
         557     2.19356     2.18622  0.00113742
         558     2.18506     2.18622  0.00113538
         559     2.17985     2.18621  0.00113341
         560      2.1801      2.1862  0.00113143
         561     2.18507      2.1862  0.00112942
         562     2.19198     2.18621  0.00112746
         563     2.19817     2.18623  0.00112565
         564     2.20226     2.18626  0.00112402
         565     2.20382     2.18629  0.00112246
         566     2.20259     2.18632  0.00112084
         567     2.19777     2.18634  0.00111905
         568     2.18745     2.18634  0.00111708
         569     2.16915     2.18631  0.00111553
         570     2.14506     2.18624  0.00111591
         571     2.13181     2.18614  0.00111802
         572     2.14444     2.18607  0.00111844
         573     2.16849     2.18604  0.00111691
         574     2.18642     2.18604  0.00111497
         575     2.19628     2.18606  0.00111317
         576     2.20136     2.18608  0.00111155
         577       2.204     2.18611  0.00111006
         578     2.20504     2.18615  0.00110862
         579     2.20424     2.18618  0.00110715
         580     2.20071      2.1862  0.00110552
         581     2.19358     2.18622  0.00110369
         582     2.18344     2.18621  0.00110181
         583     2.17371     2.18619  0.00110013
         584     2.16817     2.18616  0.00109867
         585     2.16558     2.18612  0.00109736
         586     2.16038     2.18608  0.00109637
         587     2.15059     2.18602  0.00109616
         588     2.14354     2.18595  0.00109668
         589      2.1498     2.18589  0.00109653
         590     2.16744     2.18585  0.00109512
         591     2.18454     2.18585  0.00109327
         592     2.19484     2.18587  0.00109153
         593     2.19918     2.18589  0.00108992
         594     2.20011     2.18591  0.00108834
         595     2.19952     2.18594  0.00108675
         596     2.19848     2.18596  0.00108514
         597     2.19755     2.18598  0.00108349
         598     2.19699       2.186  0.00108184
         599     2.19693     2.18601  0.00108018
         600     2.19737     2.18603  0.00107855
         601     2.19824     2.18605  0.00107695
         602     2.19933     2.18607  0.00107538
         603     2.20026      2.1861  0.00107386
         604     2.20041     2.18612  0.00107234
         605     2.19901     2.18614  0.00107078
         606     2.19562     2.18616  0.00106913
         607      2.1911     2.18617   0.0010674
         608     2.18797     2.18617  0.00106564
         609     2.18792     2.18617   0.0010639
         610     2.18912     2.18618  0.00106217
         611     2.18834     2.18618  0.00106043
         612     2.18513     2.18618   0.0010587
         613     2.18213     2.18617  0.00105699
         614     2.18139     2.18617   0.0010553
         615     2.18139     2.18616  0.00105361
         616     2.17949     2.18615  0.00105196
         617     2.17623     2.18613  0.00105038
         618     2.17495     2.18611  0.00104883
         619     2.17691      2.1861  0.00104724
         620     2.18042     2.18609   0.0010456
         621      2.1839     2.18608  0.00104392
         622     2.18651     2.18609  0.00104224
         623     2.18767     2.18609  0.00104057
         624      2.1874     2.18609   0.0010389
         625     2.18667     2.18609  0.00103724
         626     2.18651     2.18609  0.00103559
         627     2.18618     2.18609  0.00103393
         628     2.18169     2.18609  0.00103231
         629      2.1665     2.18605  0.00103114
         630     2.13765     2.18598  0.00103236
         631     2.11146     2.18586  0.00103746
         632     2.11642     2.18575  0.00104162
         633     2.14549     2.18569  0.00104191
         634     2.17155     2.18566  0.00104051
         635     2.18592     2.18566  0.00103887
         636     2.19185     2.18567  0.00103728
         637     2.19336     2.18569  0.00103572
         638     2.19285      2.1857  0.00103416
         639     2.19137     2.18571  0.00103258
         640     2.18928     2.18571  0.00103098
         641     2.18659     2.18571  0.00102937
         642     2.18324     2.18571  0.00102778
         643     2.17939      2.1857  0.00102623
         644     2.17557     2.18568  0.00102475
         645     2.17272     2.18566  0.00102336
         646     2.17158     2.18564  0.00102201
         647     2.17226     2.18562  0.00102064
         648     2.17432      2.1856  0.00101921
         649     2.17734     2.18559  0.00101772
         650     2.18104     2.18558  0.00101618
         651     2.18507     2.18558  0.00101462
         652     2.18866     2.18559  0.00101307
         653     2.19069      2.1856  0.00101155
         654     2.19044      2.1856  0.00101003
         655     2.18881     2.18561   0.0010085
         656     2.18861     2.18561  0.00100698
         657     2.19193     2.18562  0.00100549
         658     2.19777     2.18564  0.00100413
         659     2.20383     2.18567  0.00100299
         660     2.20895      2.1857  0.00100209
         661     2.21272     2.18574   0.0010014
         662     2.21461     2.18579  0.00100084
         663     2.21428     2.18583  0.00100025
         664     2.21216     2.18587 0.000999533
         665     2.20952     2.18591 0.000998662
         666     2.20783     2.18594 0.000997705
         667     2.20792     2.18597 0.000996753
         668     2.20957     2.18601 0.000995887
         669     2.21182     2.18605 0.000995145
         670     2.21374     2.18609 0.000994518
         671     2.21463     2.18613 0.000993946
         672     2.21333     2.18617  0.00099329
         673     2.20762      2.1862 0.000992326
         674     2.19533     2.18622 0.000990946
         675       2.179      2.1862 0.000989536
         676      2.1683     2.18618 0.000988426
         677      2.1697     2.18615 0.000987266
         678      2.1801     2.18614  0.00098585
         679     2.19242     2.18615 0.000984442
         680     2.19951     2.18617  0.00098319
         681     2.19983     2.18619 0.000981951
         682     2.19764     2.18621 0.000980654
         683     2.19684     2.18623 0.000979342
         684     2.19687     2.18624 0.000978034
         685      2.1967     2.18626 0.000976725
         686     2.20066     2.18628 0.000975527
         687     2.21166     2.18631 0.000974807
         688     2.22334     2.18637 0.000974874
         689     2.22843     2.18643 0.000975369
         690     2.22485     2.18649 0.000975543
         691     2.21274     2.18652 0.000974871
         692     2.19265     2.18653 0.000973502
         693     2.16805     2.18651 0.000972463
         694     2.14907     2.18645 0.000972557
         695     2.14658     2.18639 0.000972848
         696     2.15838     2.18635 0.000972282
         697     2.17316     2.18633 0.000971072
         698     2.18409     2.18633 0.000969686
         699     2.18951     2.18634 0.000968309
         700     2.18823     2.18634  0.00096693
         701     2.17719     2.18633 0.000965638
         702     2.15565     2.18628 0.000965251
         703     2.13754     2.18621 0.000966364
         704     2.14169     2.18615 0.000967059
         705      2.1601     2.18611 0.000966393
         706     2.17616      2.1861 0.000965127
         707     2.18542      2.1861 0.000963763
         708     2.18921      2.1861 0.000962411
         709     2.18951     2.18611 0.000961066
