#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         483     13.9598     15.9182    0.116564
         484     14.0307     15.9143    0.116389
         485     14.0931     15.9105    0.116209
         486     14.1357     15.9069    0.116027
         487     14.1532     15.9033    0.115845
         488     14.1473     15.8997    0.115663
         489     14.1311     15.8961    0.115483
         490     14.1276     15.8924    0.115304
         491     14.1535     15.8889    0.115124
         492     14.2032     15.8855    0.114941
         493     14.2543     15.8822    0.114755
         494     14.2842     15.8789    0.114568
         495     14.2809     15.8757    0.114382
         496     14.2426     15.8724    0.114199
         497     14.1797      15.869     0.11402
         498     14.1168     15.8655    0.113846
         499     14.0846     15.8619    0.113673
         500     14.0974     15.8584    0.113501
