#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         360      16.573     14.4235   0.0335692
         361     16.5448     14.4294   0.0339867
         362     16.5517     14.4352   0.0343948
         363     16.6172     14.4412   0.0348213
         364     16.7282     14.4475   0.0352879
         365     16.8444     14.4541    0.035797
         366     16.9268     14.4608   0.0363311
         367     16.9559     14.4676   0.0368627
         368     16.9355     14.4743   0.0373676
         369     16.8916     14.4809   0.0378362
         370     16.8666     14.4873   0.0382794
         371     16.8958     14.4938   0.0387228
         372     16.9785     14.5005   0.0391905
         373     17.0814     14.5074   0.0396915
         374     17.1734     14.5146   0.0402204
         375     17.2479     14.5218   0.0407683
         376     17.3129     14.5293   0.0413301
         377     17.3721     14.5368   0.0419028
         378     17.4163     14.5444   0.0424787
         379     17.4282      14.552   0.0430427
         380      17.404     14.5595   0.0435788
         381     17.3793     14.5669   0.0440884
         382     17.4113     14.5744   0.0445973
         383     17.5043      14.582   0.0451322
         384      17.604     14.5899   0.0456957
         385     17.6691     14.5979   0.0462716
         386     17.6994     14.6059   0.0468442
         387      17.716      14.614   0.0474075
         388     17.7398      14.622    0.047965
         389     17.7796     14.6302   0.0485236
         390     17.8308     14.6384   0.0490883
         391     17.8827     14.6467   0.0496591
         392     17.9271      14.655   0.0502326
         393     17.9646     14.6634   0.0508058
         394     18.0058     14.6719   0.0513802
         395     18.0605     14.6805   0.0519613
         396     18.1264     14.6892   0.0525537
         397     18.1926      14.698    0.053157
         398     18.2519      14.707   0.0537682
         399     18.3064      14.716    0.054385
         400      18.359     14.7251   0.0550063
         401     18.4031     14.7343   0.0556286
         402      18.423     14.7434   0.0562419
         403     18.4076     14.7525   0.0568326
         404     18.3635     14.7615   0.0573904
         405     18.3197     14.7703   0.0579173
         406     18.3146      14.779   0.0584288
         407     18.3686     14.7878   0.0589472
         408     18.4799     14.7969   0.0594932
         409     18.6277     14.8062   0.0600805
         410     18.7695     14.8159   0.0607066
         411     18.8689     14.8257   0.0613547
         412     18.9346     14.8357    0.062011
         413     19.0051     14.8458   0.0626772
         414     19.0914     14.8561   0.0633592
         415     19.1685     14.8665    0.064053
         416     19.2005     14.8769   0.0647408
         417     19.1385     14.8871   0.0653871
         418     19.0149      14.897   0.0659722
         419     19.0679     14.9069   0.0665615
         420     19.3366     14.9175   0.0672334
         421     19.5316     14.9284   0.0679612
         422     19.5395     14.9394   0.0686729
         423     19.4275       14.95   0.0693254
         424     19.2818     14.9602   0.0699106
         425     19.1585     14.9701   0.0704405
         426     19.1093     14.9798   0.0709422
         427     19.1485     14.9895   0.0714446
         428     19.2012     14.9994   0.0719522
         429     19.2374     15.0093   0.0724594
         430     19.3382     15.0193   0.0729869
         431     19.5729     15.0299   0.0735783
         432      19.888     15.0411   0.0742624
         433     20.1563      15.053   0.0750246
         434     20.3057     15.0651   0.0758217
         435     20.3435     15.0772   0.0766122
         436     20.3174     15.0892   0.0773735
         437     20.2912     15.1011   0.0781068
         438     20.3062      15.113   0.0788273
         439     20.3671      15.125   0.0795511
         440     20.4759     15.1371   0.0802945
         441     20.6187     15.1496   0.0810688
         442     20.7517     15.1622   0.0818702
         443     20.8328      15.175     0.08268
         444      20.839     15.1878   0.0834721
         445     20.7682     15.2003   0.0842212
         446     20.6423     15.2125   0.0849117
         447     20.4956     15.2244   0.0855403
         448     20.3671     15.2358   0.0861162
         449     20.3173     15.2472   0.0866648
         450     20.3971     15.2586   0.0872246
         451     20.5704     15.2704   0.0878228
         452     20.7346     15.2825   0.0884566
         453     20.8654     15.2948   0.0891157
         454     21.1114     15.3076   0.0898357
         455     21.4685     15.3211   0.0906529
         456     21.7037     15.3351   0.0915283
         457     21.7526     15.3492    0.092399
         458     21.7125     15.3631    0.093236
         459     21.6745     15.3768   0.0940413
         460      21.653     15.3905   0.0948215
         461      21.637      15.404    0.095579
         462     21.6404     15.4175   0.0963206
         463     21.6679      15.431    0.097054
         464     21.6829     15.4445   0.0977756
         465     21.6813     15.4579    0.098481
         466     21.7303     15.4714   0.0991853
         467     21.9064     15.4851   0.0999255
         468     22.2248     15.4995    0.100744
         469     22.5906     15.5147    0.101658
         470     22.8358     15.5302    0.102628
         471     22.8654     15.5458    0.103585
         472     22.7231      15.561    0.104476
         473     22.4585     15.5756    0.105267
         474     22.0236     15.5892    0.105921
         475     21.5159     15.6017     0.10643
         476     21.2774     15.6136    0.106872
         477      21.367     15.6257    0.107327
         478     21.4249     15.6378    0.107786
         479     21.1775     15.6494    0.108179
         480     20.5098     15.6595    0.108427
         481     19.4276     15.6673    0.108484
         482     18.2858     15.6728    0.108395
         483     17.8128     15.6772    0.108261
         484     18.4747      15.683    0.108192
         485      19.883     15.6916    0.108315
         486     21.2468     15.7031    0.108693
         487     22.1203     15.7162    0.109266
         488     22.4877     15.7301    0.109919
         489      22.501      15.744    0.110563
         490     22.3096     15.7574    0.111147
         491     22.0177     15.7701    0.111649
         492     21.6889     15.7821    0.112068
         493     21.3605     15.7935    0.112411
         494     21.0533     15.8041    0.112687
         495     20.7788     15.8141    0.112906
         496     20.5428     15.8237     0.11308
         497     20.3482     15.8328    0.113219
         498      20.196     15.8415     0.11333
         499     20.0865     15.8501    0.113421
         500     20.0195     15.8584    0.113501
