#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         648     21.2825     23.1527    0.139261
         649     21.2709     23.1498    0.139076
         650     21.2387     23.1469    0.138893
         651     21.1815     23.1438    0.138713
         652     21.0957     23.1407    0.138536
         653     20.9861     23.1374    0.138363
         654      20.875     23.1339    0.138194
         655     20.7964     23.1304     0.13803
         656     20.7706     23.1268    0.137866
         657     20.7951     23.1232    0.137702
         658     20.8612     23.1198    0.137535
         659      20.957     23.1165    0.137366
         660     21.0499     23.1134    0.137193
         661     21.0979     23.1103     0.13702
         662     21.0771     23.1073    0.136847
         663      20.992     23.1041    0.136678
         664     20.8765     23.1007    0.136513
         665     20.7893     23.0972    0.136352
         666     20.7835     23.0938    0.136192
         667     20.8592     23.0904    0.136029
         668      20.968     23.0872    0.135862
         669     21.0638     23.0842    0.135693
         670     21.1281     23.0813    0.135522
         671     21.1612     23.0784     0.13535
         672     21.1689     23.0756    0.135178
         673     21.1558     23.0727    0.135008
         674     21.1232     23.0698    0.134838
         675     21.0693     23.0669    0.134671
         676     20.9906     23.0638    0.134507
         677     20.8855     23.0606    0.134347
         678     20.7592     23.0572    0.134191
         679     20.6298     23.0536    0.134041
         680      20.528     23.0499    0.133896
         681     20.4805     23.0461    0.133752
         682     20.4846     23.0424    0.133609
         683     20.5059     23.0387    0.133465
         684     20.5095      23.035    0.133321
         685      20.486     23.0312    0.133178
         686     20.4503     23.0275    0.133037
         687     20.4277     23.0237    0.132897
         688     20.4435     23.0199    0.132757
         689      20.516     23.0163    0.132614
         690     20.6404     23.0129    0.132467
         691     20.7786     23.0096    0.132314
         692      20.888     23.0066    0.132159
         693     20.9493     23.0036    0.132001
         694     20.9647     23.0007    0.131844
         695     20.9434     22.9977    0.131687
         696     20.8928     22.9947    0.131533
         697     20.8168     22.9915    0.131381
         698     20.7179     22.9883    0.131233
         699      20.603     22.9849     0.13109
         700     20.4894     22.9813    0.130951
         701     20.4042     22.9776    0.130816
         702     20.3702     22.9739    0.130682
         703     20.3886     22.9702    0.130548
         704     20.4401     22.9667    0.130412
         705     20.4953     22.9631    0.130274
         706     20.5261     22.9597    0.130136
         707     20.5147     22.9562    0.129997
         708      20.467     22.9527    0.129861
         709      20.418     22.9491    0.129727
         710     20.4106     22.9456    0.129594
         711     20.4514     22.9421    0.129459
         712     20.5074     22.9386    0.129323
         713     20.5442     22.9353    0.129185
         714     20.5466     22.9319    0.129047
         715     20.5108     22.9286    0.128911
         716      20.433     22.9251    0.128778
         717     20.3084     22.9214     0.12865
         718     20.1486     22.9176    0.128529
         719     20.0153     22.9135    0.128414
         720      19.997     22.9095    0.128299
         721     20.0958     22.9056     0.12818
